OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
1308202,04092016073,The Garden Grille & Bar (at Hilton Garden Inn),131 COLUMBUS AVE ,,CARY,NC,27518,(919) 377-0440,2011/12/21 00:00:00+00,Restaurant,10936,-78.73638591,35.7564409,M
1308203,04092018220,Casa Cubana,10901 Forest Pines DR ,,RALEIGH,NC,27614,(919) 435-8556,2019/11/06 00:00:00+00,Restaurant,10939,-78.54524907,35.9442777,M
1308204,04092018340,Seoul Garden,4701-131 Atlantic Ave,,RALEIGH,NC,27604,(919) 850-9984,2020/04/07 00:00:00+00,Restaurant,10926,-78.60177748,35.8482227,M
1308205,04092017272,WENDY'S #6336,8050 TEN TEN RD ,,RALEIGH,NC,27603,(919) 329-8224,2016/08/30 00:00:00+00,Restaurant,10941,-78.69876609,35.66389668,M
1308206,04092021939,DONOVAN'S DISH,800 W WILLIAMS ST ,STE 112,APEX,NC,27502,(919) 651-8309,2016/02/08 00:00:00+00,Food Stand,10944,-78.86480181,35.73964723,M
1308207,04092018018,Bad Daddy's Burger bar #235,4213 Corners PKY ,Suite 100,RALEIGH,NC,27617,(919) 381-4814,2018/12/28 00:00:00+00,Restaurant,10948,-78.78791806,35.91890974,M
1308208,04092018262,Juicehaus,509 E BROAD ST,,FUQUAY VARINA,NC,27526,(919) 285-2130,2019/12/11 00:00:00+00,Restaurant,10959,-78.79419282,35.59352334,M
1308209,04092015197,PANDA GARDEN,5249 SUNSET LAKE RD ,,HOLLY SPRINGS,NC,27540,(919) 360-5000,2008/08/12 00:00:00+00,Restaurant,10968,-78.79652372,35.66680054,M
1308210,04092018214,Culver's of Apex #730,1401 KELLY RD,,APEX,NC,27502,(919) 372-5610,2019/11/04 00:00:00+00,Restaurant,10972,-78.89533544,35.73714061,M
1308211,04092017088,BAHAMA BREEZE RESTAURANT,3309 WAKE FOREST RD ,,RALEIGH,NC,27609,(919) 872-6330,2015/11/18 00:00:00+00,Restaurant,10984,-78.6204818,35.82856037,M
1308212,04092110137,Apex Elementary Cafeteria,700 Tingen Rd ,,APEX,NC,27502,(919) 387-2150 ext. 23083,2003/08/06 00:00:00+00,Public School Lunchrooms,10992,-78.85703339,35.720967,M
1308213,04092022011,SPROUTS #540 DELI,9414 FALLS OF NEUSE RD ,,RALEIGH,NC,27615,(919) 326-2530,2017/03/14 00:00:00+00,Food Stand,11011,-78.60286042,35.90143714,M
1308214,04092013879,Golden China - Zebulon,182 Wakelon Dr,,ZEBULON,NC,27597,(919) 269-4070,2003/08/18 00:00:00+00,Restaurant,10994,-78.31513526,35.83270752,M
1308215,04092021589,WALMART DELI #3889,3151 APEX PEAKWAY ,,APEX,NC,27502,(919) 362-3737,2009/10/05 00:00:00+00,Food Stand,11012,-78.84319631,35.71473596,M
1308216,04092016143,SHEETZ #480,600 CORPORATE CENTER DR ,,RALEIGH,NC,27607,(919) 859-9577,2012/03/27 00:00:00+00,Restaurant,11019,-78.73922282,35.78976616,M
1308217,04092014078,Chuck E Cheese,3501-131 Capital Blv,,RALEIGH,NC,27604,(919) 850-9241,2004/06/24 00:00:00+00,Restaurant,11010,-78.58559583,35.82850307,M
1308218,04092016145,BUFFALO WILD WINGS #357,1300 VILLAGE MARKET PL ,,MORRISVILLE,NC,27560,(919) 469-7872,2012/03/28 00:00:00+00,Restaurant,11020,-78.81477704,35.80605417,M
1308219,04092021712,HARRIS TEETER #136 MEAT MARKET/SEAFOOD,9600 FALLS OF NEUSE RD ,,RALEIGH,NC,27615,(919) 676-6614,2012/07/10 00:00:00+00,Food Stand,11024,-78.60015155,35.90522894,M
1308220,04092040365,Who Loves Hot Dogs (WCID #408),903 N Smithfield RD ,,KNIGHTDALE,NC,27545,(954) 579-4173,2018/11/02 00:00:00+00,Pushcarts,11025,-78.48796476,35.79576936,M
1308221,04092011937,Roma's Italian,203 N HARRISON AVE ,,CARY,NC,27513-4558,(919) 468-1111,1996/10/04 00:00:00+00,Restaurant,11049,-78.78390114,35.78817167,M
1308222,04092110483,Smith Magnet Elementary School Cafeteria,1101 MAXWELL DR ,,RALEIGH,NC,27603,(919) 662-2465,2009/08/14 00:00:00+00,Public School Lunchrooms,11052,-78.65338964,35.71157285,M
1308223,04092110474,MARTIN MIDDLE SCHOOL CAFETERIA,1701  RIDGE RD ,,RALEIGH,NC,27607,(919) 881-4970 ext. 27404,2008/08/20 00:00:00+00,Public School Lunchrooms,11053,-78.68698752,35.81248956,M
1308224,04092015951,MOJO'S GRILL,2648 TIMBER DR ,,GARNER,NC,27529,(919) 662-1115,2011/04/28 00:00:00+00,Restaurant,11060,-78.63679241,35.71604965,M
1308225,04092014064,Holy Trinity Greek Orthodox Church Kitchen,5000 Lead Mine Rd ,,RALEIGH,NC,27612,(919) 781-4548,2004/06/02 00:00:00+00,Restaurant,11072,-78.67202741,35.84928971,M
1308226,04092015864,VINOS FINOS Y PICADAS,8450 HONEYCUTT RD ,,RALEIGH,NC,27615,(919) 747-9233,2011/01/03 00:00:00+00,Restaurant,11083,-78.62166097,35.89510574,M
1308227,04092025192,Big Dom's Bagel Shop,203 E Chatham ST ,,CARY,NC,27511,(919) 377-1143,2018/08/06 00:00:00+00,Food Stand,11095,-78.7784243,35.787736,M
1308228,04092013869,The Cheesecake Factory,4325 Glenwood Ave ,Suite 2086,RALEIGH,NC,27612,(919) 781-0050,2003/08/08 00:00:00+00,Restaurant,11098,-78.68184484,35.84183815,T
1308229,04092013904,Barnes & Noble Cafe #2171,8431 Brier Creek Pky,,RALEIGH,NC,27617,(919) 484-9903,2003/09/25 00:00:00+00,Restaurant,11101,-78.78334742,35.90685073,M
1308230,04092010302,GOODBERRY'S #6,2421 Spring Forest Rd,,RALEIGH,NC,27615-7540,(919) 878-8159,1991/05/02 00:00:00+00,Restaurant,11114,-78.59868826,35.8608486,M
1308231,04092018309,Panera Bread #9206 at Wake Med,3000 NEW BERN AVE,,RALEIGH,NC,27610,(984) 247-8902,2020/01/27 00:00:00+00,Restaurant,11119,-78.58796297,35.78391423,M
1308232,04092018153,Union Special,2409 CRABTREE BLVD,,RALEIGH,NC,27604,(984) 200-3094,2019/08/23 00:00:00+00,Restaurant,11120,-78.61383129,35.80541069,M
1308233,04092021807,KABOBI,4325  GLENWOOD AVE ,STE 2054,RALEIGH,NC,27612,(919) 783-0506,2014/08/06 00:00:00+00,Food Stand,11136,-78.68184484,35.84183815,T
1308234,04092030335,HOT CHIX (WCID # 602),10125 Division  DR ,,Raleigh,NC,27603,(919) 578-1441,2017/05/19 00:00:00+00,Mobile Food Units,11141,-78.7114342,35.63398295,M
1308235,04092300153,Food Lion #1259 Meat Market ,3685 NEW BERN AVE ,,RALEIGH,NC,27610-1232,(919) 231-7294,2000/07/01 00:00:00+00,Meat Market,11147,-78.57923704,35.79885313,M
1308236,04092021134,Lowes Foods #187 Produce,12524 Capital Blv,,WAKE FOREST,NC,27587-7487,(919) 562-5020,2002/08/09 00:00:00+00,Food Stand,11156,-78.53270438,35.98593613,M
1308237,04092021013,Food Lion #624 Deli ,2458 SW CARY PKY ,,CARY,NC,27513-5318,(919) 481-1822,2000/07/01 00:00:00+00,Food Stand,11163,-78.82085718,35.76363975,M
1308238,04092020997,Food Lion #996 Deli,7971 FAYETTEVILLE RD ,,RALEIGH,NC,27603-5631,(919) 772-0317,2000/07/01 00:00:00+00,Food Stand,11169,-78.69742539,35.66508155,M
1308239,04092300149,Food Lion #1557 Meat Market ,4827 Grove Barton Rd,,RALEIGH,NC,27613,,2000/07/01 00:00:00+00,Meat Market,11170,-78.71866323,35.869194,M
1308240,04092012056,Torero's Mexican Restaurant V,1207-C Kildaire Farm Rd ,,CARY,NC,27511,(919) 468-8711,1997/06/03 00:00:00+00,Restaurant,11044,-78.7834338,35.76424145,M
1308241,04092300151,Food Lion #1079 Meat Market,5621 Louisburg Rd,,RALEIGH,NC,27616-5353,(919) 981-0402,2000/07/01 00:00:00+00,Meat Market,11171,-78.55796888,35.85459972,M
1308242,04092300156,Food Lion #1654 Meat Market,7440 Louisburg Rd ,,RALEIGH,NC,27616-6482,(919) 875-1394,2000/07/01 00:00:00+00,Meat Market,11172,-78.53977,35.87454018,M
1308243,04092300158,Food Lion #561 Meat Market,217 TIMBER DR ,,GARNER,NC,27529-4870,(919) 779-5551,2000/07/01 00:00:00+00,Meat Market,11173,-78.60613102,35.68500723,M
1308244,04092300175,Food Lion #1496 Meat Market ,1777 W Williams ST ,,APEX,NC,27502,,2000/07/01 00:00:00+00,Meat Market,11174,-78.87770701,35.75964934,M
1308245,04092018478,The Iron Lantern,2829 WENDELL BLVD,,WENDELL,NC,27591-6904,,2020/11/05 00:00:00+00,Restaurant,11177,-78.38037181,35.79568777,M
1308246,04092014702,Subway,8109-101 Fayetteville RD ,,RALEIGH,NC,27603,(919) 779-0636,2006/10/19 00:00:00+00,Restaurant,11057,-78.7013693,35.66354199,M
1308247,04092017274,HARRIS TEETER #43 STARBUCKS,3638 ROGERS RD ,,WAKE FOREST,NC,27587,(919) 562-9521,2016/06/24 00:00:00+00,Restaurant,11187,-78.50482681,35.94464173,M
1308248,04092017616,BAD DADDY'S BURGER BAR,9402-103 FALLS OF NEUSE RD ,,RALEIGH,NC,27615,(984) 233-5880,2017/05/12 00:00:00+00,Restaurant,11159,-78.60429327,35.90247841,M
1308249,04092017829,DUNKIN DONUTS #347837,3511 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 367-9949,2018/04/24 00:00:00+00,Restaurant,11188,-78.79278417,35.70189107,M
1308250,04092017871,BRIXX BRADFORD,14112 BRADFORD GREEN SQUARE ,,CARY,NC,27519,(919) 336-1111,2018/07/02 00:00:00+00,Restaurant,11203,-78.84558396,35.79325638,M
1308251,04092018505,Transfer Company Bar,500 E Dawson ST ,,RALEIGH,NC,27601,(984) 232-8122,2020/12/16 00:00:00+00,Restaurant,11167,-78.64376023,35.77437754,M
1308252,04092021523,New Super Grocery & Fresh Halal Meat,748 E Chatham ST ,Unit G,CARY,NC,27511,(919) 463-0450,2008/04/14 00:00:00+00,Food Stand,11214,-78.76514155,35.79157241,M
1308253,04092300177,Food Lion #996 Meat Market,7971 FAYETTEVILLE RD ,,RALEIGH,NC,27603-5631,(919) 772-0317,2000/07/01 00:00:00+00,Meat Market,11224,-78.69742539,35.66508155,M
1308254,04092015114,Subway #3262,1813 N Harrison AVE ,,CARY,NC,27513,(919) 678-1191,2008/04/23 00:00:00+00,Restaurant,11185,-78.76837941,35.82980559,M
1308255,04092160083,RALEIGH REHABILITATION CENTER KITCHEN,616 WADE AVE ,,RALEIGH,NC,27605-1237,(919) 828-6251,2014/07/22 00:00:00+00,Institutional Food Service,11234,-78.65108414,35.79677027,M
1308256,04092015568,HARRIS TEETER #422 DELI,120-100 ST ALBANS  DR ,,RALEIGH,NC,27609,(919) 781-4165,2010/02/03 00:00:00+00,Restaurant,11212,-78.63887103,35.83819686,M
1308257,04092013232,Nakato Express,1262 NW Maynard Rd ,,CARY,NC,27513,(919) 463-7677,2000/11/08 00:00:00+00,Restaurant,11226,-78.80987267,35.78462498,M
1308258,04092021264,Han-Dee Hugo's #90,3029 Western BLVD ,,RALEIGH,NC,27606,(919) 833-5062,2004/04/14 00:00:00+00,Food Stand,11267,-78.67875822,35.78167727,M
1308259,04092014196,Buffalo Wild Wings # 113,148 Shenstone BLVD ,,GARNER,NC,27529,(919) 661-5238,2004/12/03 00:00:00+00,Restaurant,11270,-78.58054205,35.69110315,M
1308260,04092030417,Backyard Bistro #3 (WCID #706),1235 Hurricane Alley ,,RALEIGH,NC,27607,(919) 851-6520 ext. 3,2019/05/02 00:00:00+00,Mobile Food Units,11237,-78.72492939,35.79923094,M
1308261,04092014817,Kiko Japan Express,1018-C Shoppes At Midway DR ,,KNIGHTDALE,NC,27545,(919) 217-3918,2007/02/20 00:00:00+00,Restaurant,11242,-78.50497023,35.79806831,M
1308262,04092013689,Mr Dumpling,5470 Apex Peakway ,,APEX,NC,27502,(919) 387-7709,2002/10/21 00:00:00+00,Restaurant,11283,-78.86537597,35.73683859,M
1308263,04092021154,Food Lion #341 Deli ,114 WAKELON ST ,,ZEBULON,NC,27597-2403,(919) 269-6122,2002/10/25 00:00:00+00,Food Stand,11284,-78.31858381,35.83228812,M
1308264,04092014261,Sheetz #361,4801 Thorton RD,,RALEIGH,NC,27616,(919) 862-0904,2005/03/02 00:00:00+00,Restaurant,11274,-78.55822088,35.89881867,M
1308265,04092015070,McDonald's #31681,6320 Battle Bridge RD ,,RALEIGH,NC,27610,(919) 773-4124,2008/02/22 00:00:00+00,Restaurant,11291,-78.54690151,35.72382379,M
1308266,04092017921,Vita Vite Midtown,200-130 Park at North Hills ST ,,RALEIGH,NC,27609,(919) 322-0649,2018/09/06 00:00:00+00,Restaurant,11296,-78.63780803,35.83639953,M
1308267,04092016822,SUBWAY #11874,411 S Main ST ,,ROLESVILLE,NC,27571-9664,(919) 554-3511,2014/12/01 00:00:00+00,Restaurant,11297,-78.46634601,35.91624751,T
1308268,04092014119,HONG KONG CHINESE KITCHEN,5563 WESTERN  BLVD ,Suite 11-A,RALEIGH,NC,27606,(919) 851-1505,2004/08/26 00:00:00+00,Restaurant,11304,-78.72051017,35.78412594,M
1308269,04092021295,Harris Teeter #21 Produce & Salad Bar,501 Oberlin RD ,,RALEIGH,NC,27605,(919) 828-9216,2004/09/23 00:00:00+00,Food Stand,11307,-78.66326182,35.79058333,M
1308270,04092014180,Rey's,1130 Buck Jones RD ,,RALEIGH,NC,27606,(919) 380-0122,2004/10/27 00:00:00+00,Restaurant,11310,-78.74145933,35.76818676,M
1308271,04092021446,Lowes Foods #191 Produce,9600 Strickland RD ,,RALEIGH,NC,27615,(919) 847-5661,2007/04/27 00:00:00+00,Food Stand,11317,-78.65568292,35.90277448,M
1308272,04092014655,Jersey Mike's #3091,2345 TIMBER DR ,,GARNER,NC,27529-2586,(919) 779-7827,2006/07/13 00:00:00+00,Restaurant,11323,-78.64123211,35.70222176,M
1308273,04092300267,PUBLIX #1466 MEAT,1020 BRADFORD PLAZA WAY,,CARY,NC,27513,(919) 460-2082,2014/10/28 00:00:00+00,Meat Market,11325,-78.84558396,35.79325638,M
1308274,04092015222,ANNA'S PIZZERIA,100 N SALEM ST ,,APEX,NC,27502,(919) 267-6237,2008/09/15 00:00:00+00,Restaurant,11346,-78.85126459,35.73076866,M
1308275,04092021045,Cook Out,3244 Capital BLVD ,,RALEIGH,NC,27604-3338,(919) 862-8281,2000/12/08 00:00:00+00,Food Stand,11363,-78.58720925,35.82374558,M
1308276,04092013248,Taco Bell / KFC 3248,5434 SIX FORKS RD ,,RALEIGH,NC,27609-4436,(919) 781-5458,2000/12/15 00:00:00+00,Restaurant,11364,-78.64059702,35.85499105,M
1308277,04092021056,Cook Out #13,6505 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-6814,(919) 862-8830,2001/02/23 00:00:00+00,Food Stand,11367,-78.6223661,35.87164953,M
1308278,04092016695,TIJUANA FLATS #193,7165 OKELLY CHAPEL  RD ,,CARY,NC,27519,(919) 629-3200,2014/05/16 00:00:00+00,Restaurant,11384,-78.88824644,35.84415135,M
1308279,04092013988,Cook Out #25,3930 Western Blv ,,RALEIGH,NC,27606,(919) 821-2926,2004/02/18 00:00:00+00,Restaurant,11392,-78.69305854,35.78482575,M
1308280,04092022009,LA BONITA DELI,836-110 E CHATHAM ST ,,CARY,NC,27511,(919) 650-3161,2017/03/02 00:00:00+00,Food Stand,11348,-78.7955722,35.78044851,T
1308281,04092018490,Angie Dominican Cakes & Cafe,6109 Rock Quarry  RD ,Suite 105,RALEIGH,NC,27610,(919) 397-0478,2020/11/25 00:00:00+00,Restaurant,11405,-78.5485314,35.72427564,M
1308282,04092021291,WalMart #5292 Deli,4431 New Bern AVE ,,RALEIGH,NC,27610,(919) 212-6442,2004/08/24 00:00:00+00,Food Stand,11422,-78.56000685,35.80046419,M
1308283,04092030455,CockADoodleMoo (WCID #510),10125 DIVISION DR,,RALEIGH,NC,27603,(919) 614-0701,2019/12/11 00:00:00+00,Mobile Food Units,11427,-78.7114342,35.63398295,M
1308284,04092030385,Poblano's Tacos & More (WCID #660),1032 Huntsboro RD ,,Knightdale,NC,27545,(919) 279-2656,2018/12/13 00:00:00+00,Mobile Food Units,11429,-78.45819365,35.74969345,M
1308285,04092016033,STEAK N SHAKE,2840 E MILLBROOK RD ,,RALEIGH,NC,27604,(919) 872-6669,2011/10/19 00:00:00+00,Restaurant,11432,-78.58383444,35.84907372,M
1308286,04092015862,NO. 1 CHINESE RESTAURANT,3667 SW CARY  PKY ,,CARY,NC,27513,(919) 461-7008,2011/01/04 00:00:00+00,Restaurant,11449,-78.8379919,35.78179255,M
1308287,04092030374,Beefy Buns (WCID #650),1941 Indianwood CT ,,RALEIGH,NC,27604,(919) 638-1572,2018/09/18 00:00:00+00,Mobile Food Units,11454,-78.54824679,35.81067005,M
1308288,04092021773,PAPA MURPHY'S NC #001,3639 SW CARY PKY ,,CARY,NC,27513,(919) 462-6364,2013/12/19 00:00:00+00,Food Stand,11459,-78.8379919,35.78179255,M
1308289,04092017576,MCDONALDS #1044,703 W PEACE ST ,,RALEIGH,NC,27605,(919) 833-9875,2017/04/21 00:00:00+00,Restaurant,11463,-78.64914898,35.78827691,M
1308290,04092050029,ST. DAVID'S DINING HALL,3400 WHITE OAK RD ,,RALEIGH,NC,27609,(919) 782-3331 ext. 385,2015/08/17 00:00:00+00,Private School Lunchrooms,11466,-78.6488823,35.82342156,M
1308291,04092016751,LELI'S DINER,3325-109 ROGERS ROAD,,WAKE FOREST,NC,27587,(919) 263-1377,2014/09/02 00:00:00+00,Restaurant,11470,-78.51412541,35.95025455,M
1308292,04092015860,BOJANGLES #45,900 S MAIN ST ,,ROLESVILLE,NC,27571,(919) 453-6241,2011/01/07 00:00:00+00,Restaurant,11515,-78.47826635,35.90966729,M
1308293,04092110128,Washington Elem. School Cafeteria,1000 FAYETTEVILLE ST ,,RALEIGH,NC,27601-2525,(919) 856-7960 ext. 26607,2001/09/19 00:00:00+00,Public School Lunchrooms,11531,-78.64381188,35.76731369,M
1308294,04092021920,THAI BISTRO,4325-2039 GLENWOOD AVE ,,RALEIGH,NC,27612,(919) 771-7933,2015/12/01 00:00:00+00,Food Stand,11493,-78.67658819,35.8395892,M
1308295,04092017919,Diced,7157 O'Kelley Chapel RD ,,CARY,NC,27619,(919) 678-5004,2018/09/06 00:00:00+00,Restaurant,11561,-78.88824644,35.84415135,M
1308296,04092021142,Sino Wok,5959-1108 Triangle Town Blv ,,RALEIGH,NC,27616,(919) 792-2499,2002/08/19 00:00:00+00,Food Stand,11539,-78.57159163,35.86546307,M
1308297,04092018520,Shearon Harris Cafe,5413  Shearon Harris RD ,,NEW HILL,NC,27562,(984) 229-2037,2021/01/27 00:00:00+00,Restaurant,11576,-78.94432618,35.63332337,M
1308298,04092021108,Lowes Foods #184 Meat/Seafood,5400 Apex Peakway ,,APEX,NC,27502,(919) 363-5376,2002/01/08 00:00:00+00,Food Stand,11592,-78.86537597,35.73683859,M
1308299,04092017588,MCDONALDS #15546,3508 MILLBROOK RD ,,RALEIGH,NC,27613,(919) 781-3702,2017/05/01 00:00:00+00,Restaurant,11546,-78.71132967,35.86336735,M
1308300,04092017877,Jersey Mike's #3176,242 Grand Hill PL ,,HOLLY SPRINGS,NC,27540,(919) 346-2290,2018/06/29 00:00:00+00,Restaurant,11611,-78.84589577,35.66566859,M
1308301,04092017299,WENDY'S #6323,2007 NW CARY PKY ,,MORRISVILLE,NC,27560-5908,(919) 465-4288,2016/08/26 00:00:00+00,Restaurant,11627,-78.81235031,35.80538619,M
1308302,04092017498,WING STOP #1245,684-A CARY TOWNE BLVD ,,CARY,NC,27511,(919) 234-0736,2016/12/30 00:00:00+00,Restaurant,11568,-78.76589162,35.7755899,M
1308303,04092018457,Peno Mediterranean Grill,9424 Falls of Neuse RD ,Suite 100,RALEIGH,NC,27615,(919) 977-4513,2020/09/18 00:00:00+00,Restaurant,11632,-78.60286042,35.90143714,M
1308304,04092017634,RESIDENCE INN DOWNTOWN RALEIGH,616 S SALISBURY ST ,,RALEIGH,NC,27601,(919) 856-0017,2017/06/27 00:00:00+00,Restaurant,11633,-78.64078384,35.77259393,M
1308305,04092017320,BJ'S RESTAURANT,5707 DILLARD DR ,,CARY,NC,27518,(919) 710-8170,2016/09/12 00:00:00+00,Restaurant,11634,-78.74369156,35.75540712,M
1308306,04092015933,PORT CITY JAVA VET SCHOOL,1052 WILLIAM MOORE  DR ,,RALEIGH,NC,27606,(919) 513-3226,2011/04/12 00:00:00+00,Restaurant,11642,-78.70039185,35.79760537,M
1308307,04092015276,SALEM STREET PUB,113 N SALEM ST ,,APEX,NC,27502,(919) 387-9992,2008/10/31 00:00:00+00,Restaurant,11648,-78.85154922,35.73118477,T
1308308,04092016870,Southern Foodservice Charter,4200 PARAMOUNT  PKY ,,MORRISVILLE,NC,27560,(919) 460-7304,2015/02/11 00:00:00+00,Restaurant,11676,-78.83206286,35.86029687,M
1308309,04092016321,La Quinta Inn & Suites Foodservice,2610 WESTINGHOUSE BLVD ,,RALEIGH,NC,27604,(919) 821-0888,2012/12/11 00:00:00+00,Restaurant,11679,-78.59714366,35.81624427,M
1308310,04092018463,Pat Murnane's Irish Pub,2108 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 562-5570,2020/10/15 00:00:00+00,Restaurant,11681,-78.53407126,35.94966057,M
1308311,04092300270,ALBARAKA MEAT MARKET,3815 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 838-5155,2015/08/17 00:00:00+00,Meat Market,11683,-78.68961815,35.7941927,M
1308312,04092013504,Serendipity Gourmet Deli,118 S ACADEMY ST,,CARY,NC,27511-3302,(919) 469-1655,2002/01/24 00:00:00+00,Restaurant,11694,-78.78150853,35.78674767,M
1308313,04092013618,Subway #4331,9101 LEESVILLE RD ,,RALEIGH,NC,27613-4091,(919) 847-3559,2002/06/12 00:00:00+00,Restaurant,11701,-78.72548207,35.8967595,M
1308314,04092017121,Cristina's Italian Kitchen,7144 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 373-8922,2015/12/30 00:00:00+00,Restaurant,11705,-78.48874912,35.79711938,M
1308315,04092017115,JERSEY MIKE'S SUBS #3151,6727 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 295-4661,2015/12/10 00:00:00+00,Restaurant,11719,-78.50344651,35.79796245,M
1308316,04092017910,Highway 55 Burgers Shakes & Fries,1011 N Smithfield  RD ,,KNIGHTDALE,NC,27545,(919) 743-0128,2018/08/30 00:00:00+00,Restaurant,11726,-78.48874912,35.79711938,M
1308317,04092017319,PUBLIX #1514 DELI,1030 FORESTVILLE RD ,,WAKE FOREST,NC,27587,(919) 556-6671,2016/08/30 00:00:00+00,Restaurant,11738,-78.5075981,35.94611021,M
1308318,04092110542,Emma Conn Magnet Elementary School Cafeteria,1220 BROOKSIDE DR,,RALEIGH,NC,27604,,2020/12/30 00:00:00+00,Public School Lunchrooms,11741,-78.62274262,35.79584396,M
1308319,04092018256,Sir Walter Coffee + Kitchen,242 S MAIN ST,118,HOLLY SPRINGS,NC,27540-9094,(919) 390-2150,2019/12/05 00:00:00+00,Restaurant,11742,-78.83395027,35.64920445,M
1308320,04092021841,HILBURN EXXON DELI,6700 HILBURN DR.,,RALEIGH,NC,27613,,2015/04/02 00:00:00+00,Food Stand,11747,-78.71533723,35.87241553,M
1308321,04092025343,Smith's Smokehouse & Smoothies @ Hubb Kitchen,1129 Corporation PKY ,Suite 199,RALEIGH,NC,27610,(919) 578-3344,2021/02/23 00:00:00+00,Food Stand,11752,-78.56954783,35.79505367,M
1308322,04092021968,EDIBLE ARRANGEMENTS #1614,2481 WENDELL BLVD ,,WENDELL,NC,27591,(919) 374-8888,2016/07/08 00:00:00+00,Food Stand,11757,-78.3873955,35.79950629,M
1308323,04092018403,Plant Slant Juice,1851 AVERSBORO RD ,,GARNER,NC,27529,(919) 322-4082,2020/07/13 00:00:00+00,Restaurant,11781,-78.61583871,35.68506655,M
1308324,04092017757,Michael's English Muffins,3611-114 Spring Forest RD ,,RALEIGH,NC,27616,(919) 615-0319,2017/12/15 00:00:00+00,Restaurant,11755,-78.57985951,35.8552556,M
1308325,04092014033,Assaggio's,3501 W Millbrook Rd ,,RALEIGH,NC,27613,(919) 785-2088,2004/04/23 00:00:00+00,Restaurant,11786,-78.71057185,35.86327461,M
1308326,04092021269,Han-Dee Hugo's #95,8109 Falls Of Neuse Rd,,RALEIGH,NC,27615,(919) 847-7689,2004/04/26 00:00:00+00,Food Stand,11788,-78.62309105,35.89440738,M
1308327,04092013664,Magnolia Glen Senior Living,5301 CREEDMOOR RD ,,RALEIGH,NC,27612-6305,(919) 841-4747,2002/09/17 00:00:00+00,Restaurant,11804,-78.68244591,35.85410618,M
1308328,04092017110,PRIMO PIZZA NY STYLE,682 CARY TOWNE BLVD ,,CARY,NC,27511,(919) 380-2729,2015/12/16 00:00:00+00,Restaurant,11815,-78.76561938,35.77485795,M
1308329,04092013761,Harris Teeter #257 Deli,2080 Kildaire Farm Rd ,,CARY,NC,27511,(919) 233-9483,2003/01/17 00:00:00+00,Restaurant,11829,-78.78068706,35.73567462,M
1308330,04092021185,LA TAPATIA BUTCHER SHOP & SNACK BAR,1700 St. Albans Dr,,RALEIGH,NC,27609,(919) 954-4816,2003/04/08 00:00:00+00,Food Stand,11833,-78.61051607,35.83290448,M
1308331,04092021153,Fresh Market Produce,400 WOODBURN RD ,,RALEIGH,NC,27605-1324,(919) 828-7888,2002/10/14 00:00:00+00,Food Stand,11840,-78.65855965,35.78994083,M
1308332,04092014709,Biscuitville #175 ,2820 NC HWY 55,,CARY ,NC,27519,(919) 362-8034,2006/10/19 00:00:00+00,Restaurant,11816,-78.87065621,35.78859981,M
1308333,04092040387,A & R Crazy Dogs (WCID #729),10125 DIVISION DR,,RALEIGH,NC,27603-5664,(212) 658-1880,2020/08/27 00:00:00+00,Pushcarts,11848,-78.7114342,35.63398295,M
1308334,04092017536,MCDONALDS #29233 BRIER CREEK WALMART,10050 GLENWOOD AVE ,,RALEIGH,NC,27617,(919) 957-8404,2017/03/13 00:00:00+00,Restaurant,11850,-78.77801463,35.91234038,M
1308335,04092018374,Peak City Hots,841 Perry  RD ,,APEX,NC,27502,(919) 446-6344,2020/05/26 00:00:00+00,Restaurant,11851,-78.84486569,35.71972699,M
1308336,04092110509,OAK VIEW ELEMENTARY SCHOOL CAFETERIA,11500 HOLLY SPRINGS NEW HILL RD ,,APEX,NC,27571,(919) 694-8885 ext. 23552,2016/07/06 00:00:00+00,Public School Lunchrooms,11875,-78.86600938,35.66227694,M
1308337,04092110482,EAST MILLBROOK MIDDLE SCHOOL CAFETERIA,3801 SPRING FOREST RD ,,RALEIGH,NC,27616,(919) 850-8755 ext. 27354,2009/08/14 00:00:00+00,Public School Lunchrooms,11876,-78.57481627,35.85784609,M
1308338,04092017943,MCDONALDS #27548,3494 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 363-9960,2018/09/28 00:00:00+00,Restaurant,11894,-78.79563566,35.70411834,M
1308339,04092021196,Harris Teeter #112 Produce,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003/06/24 00:00:00+00,Food Stand,11917,-78.7805746,35.804703,M
1308340,04092300268,CARLIE C'S MEAT #810,506 W GANNON AVE ,,ZEBULON,NC,27579,,2015/01/23 00:00:00+00,Meat Market,11936,-78.3247251,35.82139459,M
